               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11154,            0.032491,             0.03966,           0.0013171,            0.048371,          0.00072038,           0.0002588,             0.10228,            0.021778,              0.0371,              0.0883,              0.0013,              0.0013
                   1,             0.10825,              0.0324,            0.038732,          0.00044907,            0.029592,          0.00025399,          6.0206e-05,            0.099939,            0.021632,            0.036932,            0.075693,           0.0026933,           0.0026933
                   2,             0.10181,            0.034138,            0.037507,          0.00065977,            0.052355,          0.00038433,          0.00011751,            0.097301,            0.021922,            0.036691,             0.06308,           0.0040797,           0.0040797
                   3,             0.09661,             0.03435,            0.036841,           0.0006823,             0.11808,          0.00064011,          0.00015876,            0.095038,            0.021227,            0.036377,            0.050459,           0.0054592,           0.0054592
                   4,             0.09178,            0.035285,             0.03598,          0.00052765,             0.13451,          0.00062781,          0.00014758,            0.093233,            0.021475,            0.036002,            0.037832,           0.0068317,           0.0068317
                   5,            0.088115,             0.03313,            0.035683,          0.00036958,             0.10798,          0.00046537,          0.00012035,            0.091623,            0.021748,            0.035522,            0.025197,           0.0081973,           0.0081973
                   6,            0.085857,            0.035313,            0.035059,          0.00047072,              0.1023,          0.00045977,            0.000133,            0.090888,            0.020376,            0.034866,            0.012556,            0.009556,            0.009556
                   7,            0.082856,            0.033281,            0.034406,             0.34038,            0.020854,           0.0022645,          0.00071909,            0.091342,            0.041789,            0.036072,           0.0098268,           0.0098268,           0.0098268
                   8,            0.080622,            0.033495,            0.032144,             0.35402,            0.046432,           0.0037347,           0.0011125,            0.094648,             0.10101,            0.059843,           0.0098268,           0.0098268,           0.0098268
                   9,            0.078928,            0.032596,            0.030137,            0.022943,            0.051808,             0.01164,           0.0026016,             0.10107,            0.062765,            0.058852,            0.009802,            0.009802,            0.009802
                  10,            0.078225,            0.030606,             0.02652,             0.36093,            0.042359,           0.0096305,           0.0026681,             0.09394,             0.12021,            0.062529,           0.0097773,           0.0097773,           0.0097773
                  11,            0.077961,            0.030004,            0.029206,            0.057472,             0.13752,            0.028858,           0.0072973,            0.093539,            0.028349,             0.04224,           0.0097525,           0.0097525,           0.0097525
                  12,            0.076219,            0.030472,            0.027616,             0.34162,            0.065728,            0.030452,           0.0090174,             0.08755,              0.0256,            0.031706,           0.0097278,           0.0097278,           0.0097278
                  13,            0.074446,            0.031179,            0.025334,            0.034163,            0.077843,            0.017312,             0.00438,             0.08993,            0.017554,            0.035144,            0.009703,            0.009703,            0.009703
                  14,            0.073356,             0.03179,            0.025727,            0.051189,            0.063107,            0.023747,            0.006338,            0.082142,            0.019707,            0.032108,           0.0096783,           0.0096783,           0.0096783
                  15,             0.07245,            0.031416,            0.026536,            0.044563,             0.10212,            0.053818,            0.015457,            0.077784,            0.022265,            0.032813,           0.0096535,           0.0096535,           0.0096535
                  16,            0.069931,            0.031194,            0.024594,             0.70916,            0.030516,            0.032892,            0.010242,            0.077803,            0.024861,            0.037566,           0.0096288,           0.0096288,           0.0096288
                  17,              0.0686,            0.028628,            0.024774,             0.11271,              0.1748,            0.065024,            0.018012,            0.080039,            0.020246,            0.031693,            0.009604,            0.009604,            0.009604
                  18,            0.068101,            0.030387,            0.022858,            0.049568,             0.21319,            0.037924,           0.0093785,            0.081325,            0.032996,            0.033878,           0.0095793,           0.0095793,           0.0095793
                  19,            0.066872,            0.030258,            0.024022,            0.057433,             0.12396,            0.059191,            0.016132,            0.080667,            0.020184,            0.031173,           0.0095545,           0.0095545,           0.0095545
                  20,            0.065726,            0.028202,            0.025233,             0.73365,            0.069892,            0.072319,            0.021117,             0.08923,            0.028099,             0.03334,           0.0095298,           0.0095298,           0.0095298
                  21,            0.065394,             0.02953,            0.022934,             0.15948,             0.32112,            0.049096,             0.01519,            0.092462,             0.04795,            0.039117,            0.009505,            0.009505,            0.009505
                  22,            0.065222,            0.029175,            0.023517,            0.071306,              0.3467,            0.042382,             0.01297,            0.094353,            0.066402,            0.046291,           0.0094803,           0.0094803,           0.0094803
                  23,            0.063162,             0.02928,            0.021353,             0.70239,            0.048387,            0.046738,            0.014138,            0.094712,            0.042676,            0.043248,           0.0094555,           0.0094555,           0.0094555
                  24,              0.0622,            0.030632,            0.022589,             0.18453,             0.25052,            0.086687,            0.025951,            0.081686,             0.02028,             0.03082,           0.0094307,           0.0094307,           0.0094307
                  25,            0.061126,            0.030833,            0.020704,             0.17702,             0.21847,             0.10382,            0.040581,            0.081805,            0.019804,            0.032713,            0.009406,            0.009406,            0.009406
                  26,            0.061761,            0.029344,            0.020781,             0.25844,             0.26842,             0.16498,            0.058192,            0.078551,            0.019335,            0.029443,           0.0093813,           0.0093813,           0.0093813
                  27,            0.060118,            0.029437,            0.020229,            0.079638,             0.21528,             0.06097,            0.017668,            0.087798,            0.034371,            0.037189,           0.0093565,           0.0093565,           0.0093565
                  28,            0.061134,             0.02868,            0.021009,             0.19239,               0.243,             0.18905,            0.067954,            0.073807,            0.017446,            0.027982,           0.0093317,           0.0093317,           0.0093317
                  29,            0.057954,            0.028999,            0.018746,             0.26623,             0.20756,             0.21494,            0.082618,            0.073894,            0.016478,            0.028737,            0.009307,            0.009307,            0.009307
                  30,            0.056879,            0.028995,            0.021529,             0.54901,             0.15349,             0.14319,            0.057385,            0.073596,            0.019277,            0.027943,           0.0092823,           0.0092823,           0.0092823
                  31,            0.055654,            0.030127,            0.018192,             0.18744,             0.25511,             0.20244,            0.066678,            0.068649,            0.017056,            0.025555,           0.0092575,           0.0092575,           0.0092575
                  32,             0.05536,            0.029019,            0.017995,             0.37419,              0.2806,             0.26021,            0.084727,            0.066898,            0.016816,            0.025098,           0.0092327,           0.0092327,           0.0092327
                  33,            0.055473,            0.029479,            0.017222,             0.25862,             0.27666,             0.20676,            0.080599,            0.065952,            0.018322,            0.028246,            0.009208,            0.009208,            0.009208
                  34,            0.055621,            0.027821,            0.018424,               0.344,             0.23678,             0.21087,            0.081798,            0.067691,            0.018316,            0.028094,           0.0091833,           0.0091833,           0.0091833
                  35,            0.055312,            0.028874,            0.017127,              0.2628,             0.27115,             0.20367,            0.064779,            0.070571,            0.017794,            0.025572,           0.0091585,           0.0091585,           0.0091585
                  36,            0.053994,            0.028895,            0.016612,             0.25518,             0.29538,             0.19931,            0.074981,            0.069683,            0.018039,            0.027613,           0.0091337,           0.0091337,           0.0091337
                  37,            0.054316,            0.027838,            0.015773,             0.34528,             0.24309,             0.22158,            0.088718,            0.064957,            0.016797,            0.026105,            0.009109,            0.009109,            0.009109
                  38,            0.052542,            0.027541,             0.01751,             0.21377,             0.33459,             0.18618,            0.071386,            0.065723,            0.020399,            0.028038,           0.0090843,           0.0090843,           0.0090843
                  39,            0.053199,            0.027986,            0.015624,             0.24036,             0.26002,             0.19245,            0.075163,            0.069092,            0.018118,             0.03012,           0.0090595,           0.0090595,           0.0090595
                  40,            0.050991,            0.027059,            0.015861,             0.35538,             0.27524,             0.24481,            0.096458,            0.069585,            0.016483,            0.027992,           0.0090347,           0.0090347,           0.0090347
                  41,              0.0527,            0.027805,            0.014399,             0.22368,             0.26464,             0.19065,            0.068151,            0.069011,            0.017097,             0.02735,             0.00901,             0.00901,             0.00901
                  42,             0.05506,            0.026671,            0.015105,             0.31119,             0.28287,             0.19075,            0.071438,            0.074353,            0.015865,            0.035361,           0.0089853,           0.0089853,           0.0089853
                  43,             0.05135,            0.026927,            0.013633,               0.353,             0.29168,             0.22646,            0.092526,            0.068265,            0.017163,            0.031617,           0.0089605,           0.0089605,           0.0089605
                  44,            0.051713,            0.027648,            0.013341,             0.40006,             0.30421,             0.27164,             0.11222,            0.069117,            0.017013,            0.030808,           0.0089358,           0.0089358,           0.0089358
                  45,            0.049254,            0.027219,            0.014256,             0.37536,              0.3119,             0.29821,             0.12527,            0.066423,            0.016968,            0.027316,            0.008911,            0.008911,            0.008911
                  46,            0.050544,             0.02723,            0.013411,             0.30414,             0.35912,              0.2888,             0.11338,             0.06486,            0.017361,            0.025804,           0.0088863,           0.0088863,           0.0088863
